Date,Tail_Number,Event_Type,Standardized_Component,Component_Description
4/10/2024 0:00,N433SP,Replacement,Alternator,Aircraft Part Alternator
4/10/2024 0:00,N433SP,Replacement,_UNMAPPED_,Aircraft Part Silicone nipple
4/10/2024 0:00,N433SP,Replacement,Miscellaneous,Aircraft Part Miscellaneous hardware
4/12/2024 0:00,N9863L,Replacement,_UNMAPPED_,Aircraft Part Aero Shell 15W-50
4/12/2024 0:00,N9863L,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
4/12/2024 0:00,N9863L,Replacement,_UNMAPPED_,Aircraft Part Cowling studs
4/12/2024 0:00,N9863L,Service,Oil Analysis Kit,Aircraft Part Metal check oil analysis kit
4/26/2024 0:00,N9863L,Replacement,_UNMAPPED_,Aircraft Part Rapco air pump
4/30/2024 0:00,N433SP,Replacement,Oil Filter,Aircraft Part Tempest 110 oil filter
4/30/2024 0:00,N433SP,Replacement,_UNMAPPED_,Aircraft Part Aero Shell W15W-50
4/30/2024 0:00,N433SP,Replacement,_UNMAPPED_,Aircraft Part Shock mount
4/30/2024 0:00,N433SP,Replacement,_UNMAPPED_,Aircraft Part MIL-H-5606
5/1/2024 0:00,N9863L,Replacement,Battery,Flight School N9863L - ELT battery needs replacement.
5/1/2024 0:00,N9863L,Replacement,Battery,Aircraft Part ELT Battery pack
5/7/2024 0:00,N9863L,Replacement,Strobe Light,Aircraft Part Strobe light assy
5/9/2024 0:00,N8184G,Replacement,Bulb,Parts Bulb
5/20/2024 0:00,N64527,Replacement,Fuel Tank Component,Aircraft Part Fuel tank welding repair
5/20/2024 0:00,N64527,Replacement,Miscellaneous,Parts Miscellaneous hardware
5/20/2024 0:00,N64527,Replacement,Rivet,Parts Rivets
5/20/2024 0:00,N64527,Replacement,Fire Extinguisher,Parts Halon fire extinguisher
5/20/2024 0:00,N64527,Replacement,Oil,Parts Phillips 20W-50
5/20/2024 0:00,N64527,Replacement,Brake Lining,Parts Tempest brake lining pads
5/20/2024 0:00,N64527,Replacement,Gasket,Parts Fuel transmitter gasket
5/20/2024 0:00,N64527,Replacement,Spark Plug,Parts Spark plug
5/20/2024 0:00,N64527,Replacement,Oil Filter,Parts Tempest 110 oil filter
5/20/2024 0:00,N64527,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
5/20/2024 0:00,N64527,Replacement,Rudder Component,Parts Fiberglass rudder bottom
5/20/2024 0:00,N64527,Replacement,Rudder Component,Parts Cessna rudder skin
5/29/2024 0:00,N64527,Replacement,Paint,Parts Paint material
5/29/2024 0:00,N64527,Replacement,Rudder Component,Parts Fiberglass rudder bottom
5/29/2024 0:00,N64527,Replacement,Rudder Component,Parts Rudder skin
5/29/2024 0:00,N64527,Replacement,Rivet,Parts Rivets
6/6/2024 0:00,N8184G,Replacement,Oil Filter,Parts Tempest oil filter
6/6/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
6/6/2024 0:00,N8184G,Replacement,Air Filter,Parts Air filter
6/6/2024 0:00,N8184G,Replacement,Gasket,Parts Intake gasket
6/6/2024 0:00,N8184G,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
6/6/2024 0:00,N8184G,Replacement,Oil,Parts Phillips 20W-50
6/6/2024 0:00,N8184G,Replacement,Cowl Mount,Parts Cowl mount
6/6/2024 0:00,N8184G,Replacement,Bulb,Parts Bulb
6/6/2024 0:00,N8184G,Replacement,Bulb,Parts Norman lamp
6/11/2024 0:00,N8184G,Replacement,Miscellaneous,Parts Miscellaneous hardware
6/21/2024 0:00,N8184G,Replacement,Bulb,Parts Whelen lamp reflector
6/21/2024 0:00,N8184G,Replacement,Bulb,Parts Bulb
6/25/2024 0:00,N9863L,Replacement,_UNMAPPED_,Parts Carburetor temperature probe
6/25/2024 0:00,N9863L,Replacement,Hinge Pin,Parts Lower hinge pin
6/25/2024 0:00,N9863L,Replacement,Miscellaneous,Parts Miscellaneous hardware
6/25/2024 0:00,N9863L,Replacement,Hose,Parts Hose
6/25/2024 0:00,N9863L,Replacement,Oil Filter,Parts Tempest 110 oil filter
6/25/2024 0:00,N9863L,Replacement,Air Filter,Parts Air filter
6/25/2024 0:00,N9863L,Service,Oil Analysis Kit,Parts Metal check oil analysis kit
6/25/2024 0:00,N9863L,Replacement,Oil,Parts Phillips Type M oil
6/25/2024 0:00,N9863L,Replacement,Engine Mount,Parts Engine mount kit
7/2/2024 0:00,N8184G,Replacement,_UNMAPPED_,Parts Door pin
7/2/2024 0:00,N9863L,Replacement,Oil Filter,Parts Tempest 110 oil filter
7/2/2024 0:00,N9863L,Replacement,Oil,Parts Phillis 20W-50 oil
7/2/2024 0:00,N9863L,Replacement,Cowl Mount,Parts Cowling mount
7/9/2024 0:00,N9863L,Replacement,Washer,Parts Lock washer
7/9/2024 0:00,N9863L,Replacement,Oil Filter,Parts Tempest oil filter
